INFO:root:fetched web pages and saved to /shop/*.html
INFO:root:scraping the web page for data: https://www.czc.cz/asus-prime-b550m-k-amd-b550/289977/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/canon-i-sensys-lbp236dw/343353/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/cooler-master-masterbox-nr400-cerna/257361/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/acer-b277bmiprzx-led-monitor-27/234332/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-pro-z690-p-ddr4-intel-z690/348042/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/aoc-24b2xdam-led-monitor-23-8/317279/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-z690-gaming-x-intel-z690/336843/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-geforce-rtx-3060-vision-oc-12g-rev-2-0-lhr-12gb-gddr6/322095/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-27rg50-led-monitor-27/270817/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-rog-strix-b550-f-gaming-wifi-ii-amd-b550/332473/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/adata-hd710-pro-usb3-1-1tb-cerny/217741/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-pro-b660m-a-wifi-ddr4-intel-b660/344941/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-a520m-plus-wifi-amd-a520/359430/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/dell-s2722dz-led-monitor-27/337076/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/verbatim-store-n-go-usb-3-0-1tb-cerna/110669/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/epson-expression-premium-xp-6000/238165/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-geforce-rtx-4080-16gb-gaming-oc-16gb-gddr6x/361464/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/cooler-master-silencio-s400-steel-cerna/287500/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-t35f-led-monitor-24/297450/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-pro-h610m-b-ddr4-intel-h610/351336/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/palit-gt-710-2gb-gddr3/184595/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-geforce-rtx-3050-gaming-oc-8g-lhr-8gb-gddr6/344557/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/benq-ex2710q-led-monitor-27/335062/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/lg-oled65c21la-164cm/345841/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/sony-kd-55x85k-139cm/348956/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/sony-xr55a95k-139cm/348960/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gainward-geforce-gt-1030-2gb-gddr4/272436/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-gt301/285582/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/canon-pixma-ts5150-cerna/229869/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-t7-1tb-seda/286817/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-tuf-gaming-b450m-pro-ii-amd-b450/299915/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-z690-gaming-x-ddr4-intel-z690/332344/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-geforce-dual-rtx3060ti-o8g-v2-lhr-8gb-gddr6/340147/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-geforce-rog-strix-rtx3060ti-o8g-v2-gaming-lhr-8gb-gddr6/340145/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/dell-s2721hgf-led-monitor-27/297513/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-b660m-gaming-x-ax-ddr4-intel-b660/340163/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/samsung-ue65au7172-163cm/313092/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/toshiba-32wa3b63dg-80cm/358445/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-pro-mp242c-led-monitor-24/354215/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-geforce-rtx-3060-ti-vision-oc-8g-rev-2-0-lhr-8gb-gddr6/323012/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-b660m-gaming-ddr4-intel-b660/340151/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/msi-z590-a-pro-intel-z590/312445/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/asus-vt229h-led-monitor-21-5/251984/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/panasonic-tx-24js350e-60cm/341510/produkt
INFO:root:scraping the web page for data: https://www.czc.cz/gigabyte-geforce-rtx-3070-eagle-oc-8g-ver-2-0-lhr-8gb-gddr6/324453/produkt
