sku;product-id;product-id-type;description;internal-description;price;price-additional-info;quantity;min-quantity-alert;state;available-start-date;available-end-date;logistic-class;discount-start-date;discount-end-date;discount-price;update-delete;fulfillment-latency;shipping-warehouse
336039;304465630;SKU;;;299.00;;5;;11;;;D;;;;update;;
334988;212696469;SKU;;;179.00;;2;;11;;;;;;;update;;
286809;303854238;SKU;;;83.00;;5;;11;;;;;;;update;;
274161;209068033;SKU;;;285.00;;0;;11;;;D;;;;update;;
348744;304504065;SKU;;;82.00;;5;;11;;;;;;;update;;
322005;211975864;SKU;;;189.00;;0;;11;;;;;;;update;;
349336;307061533;SKU;;;367.00;;5;;11;;;;;;;update;;
336104;304382582;SKU;;;199.00;;4;;11;;;D;;;;update;;
301406;304725216;SKU;;;699.00;;0;;11;;;E;;;;update;;
274426;209083906;SKU;;;365.00;;5;;11;;;E;;;;update;;
311347;211077894;SKU;;;599.00;;1;;11;;;G;;;;update;;
313046;210474670;SKU;;;95.00;;0;;11;;;F;;;;update;;
218589;213248240;SKU;;;169.00;;5;;11;;;G;;;;update;;
276962;211029425;SKU;;;69.00;;0;;11;;;F;;;;update;;
305135;214112188;SKU;;;519.00;;5;;11;;;F;;;;update;;
336473;214278421;SKU;;;371.00;;0;;11;;;G;;;;update;;
308595;212076466;SKU;;;288.00;;5;2;11;;;;;;;update;;
292037;210066171;SKU;;;459.00;;1;;11;;;;;;;update;;
